id,title,description,availability,condition,price,link,image_link,brand
67934,Antitranspirante Aerossol Hidratação Intensiva Monange 150ml,Antitranspirante Aerossol Hidratação Intensiva Monange 150ml,in stock,new,11.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a752aeaacdb5400e85c56725142d281a.jpeg,Monange
97105,Antitranspirante Aerossol Nivea Invisible for Black & White Clear 200ml Spray Embalagem Econômica,Antitranspirante Aerossol Nivea Invisible for Black & White Clear 200ml Spray Embalagem Econômica,in stock,new,19.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-49969514040840cbaef4909f10dcbd07.png,Nivea
97106,Antitranspirante Aerossol Nivea Men Invisible for Black & White 200ml Spray Embalagem Econômica,Antitranspirante Aerossol Nivea Men Invisible for Black & White 200ml Spray Embalagem Econômica,in stock,new,19.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1bbe756fdac146e1abd462d97bdbb5f3.png,Nivea Men
2592,Antitranspirante Aerossol Original Dove 150ml,Antitranspirante Aerossol Original Dove 150ml,in stock,new,18.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e800feeadff3400f8101b5de622a6d80.png,Dove
92781,Antitranspirante Aerossol Original Dove 250ml Spray Tamanho Econômico,Antitranspirante Aerossol Original Dove 250ml Spray Tamanho Econômico,in stock,new,28.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f2eef0ac0eae4a3eaa98c124be60bbca.png,Dove
92786,Antitranspirante Aerossol Rexona Antibacterial + Invisible 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Rexona Antibacterial + Invisible 250ml Spray Leve Mais Pague Menos,in stock,new,24.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a74444e8bd864718b6525d90289a88f6.png,Rexona
81592,Antitranspirante Aerossol Rexona Clinical Classic 150ml Spray,Antitranspirante Aerossol Rexona Clinical Classic 150ml Spray,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-66ac66d6bf1d4a2a82bb12dafdbfef43.png,Rexona Clinical
92783,Antitranspirante Aerossol Rexona Cotton Dry 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Rexona Cotton Dry 250ml Spray Leve Mais Pague Menos,in stock,new,24.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-0c47d5da09924027a6d19b8a3be924d9.png,Rexona
113447,Antitranspirante Aerossol Rexona Invisible 250ml,Antitranspirante Aerossol Rexona Invisible 250ml,in stock,new,24.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c8a301515e0447618f3c8c2b202f20b1.png,Rexona
2525,Antitranspirante Aerossol Rexona Men Active Dry 150ml Spray,Antitranspirante Aerossol Rexona Men Active Dry 150ml Spray,in stock,new,17.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d1be4fc55c37489b9e8f0fd68480107a.png,Rexona
92784,Antitranspirante Aerossol Rexona Men Active Dry 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Rexona Men Active Dry 250ml Spray Leve Mais Pague Menos,in stock,new,24.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-184f64ba8da2433087cfdbeb9d450055.png,Rexona
92787,Antitranspirante Aerossol Rexona Men Antibacterial + Invisible 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Rexona Men Antibacterial + Invisible 250ml Spray Leve Mais Pague Menos,in stock,new,24.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d3edbd9c4c484463bce90dfafa9a4185.png,Rexona
92775,Antitranspirante Aerossol Rexona Men Invisible 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Rexona Men Invisible 250ml Spray Leve Mais Pague Menos,in stock,new,24.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d3e11a567f214f3da6f22222452879c9.png,Rexona
