id,title,description,availability,condition,price,link,image_link,brand
110944,Absorvente com Abas Total Protect Suave Sym Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Total Protect Suave Sym Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,8.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3e862c65cf49456888aeccf7d6b8710c.jpeg,Sym
97820,Absorvente com Abas Total Protect Suave Sym Pacote 30 Unidades Leve Mais Pague Menos,Absorvente com Abas Total Protect Suave Sym Pacote 30 Unidades Leve Mais Pague Menos,in stock,new,15.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-dfec1869c8e94319b9dea8e76afdc424.jpeg,Sym
110940,Absorvente com Abas Total Protect Suave Sym Pacote 8 Unidades,Absorvente com Abas Total Protect Suave Sym Pacote 8 Unidades,in stock,new,4.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-4418587cb04b41598ceabbecce15ae52.jpeg,Sym
100431,Absorvente com Abas Ultra Respirável Suave Sym Premium Pacote 8 Unidades,Absorvente com Abas Ultra Respirável Suave Sym Premium Pacote 8 Unidades,in stock,new,5.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-dd1239a4167c4d30add0493afb838873.jpeg,Sym
101198,Absorvente Geriátrico Adultcare Premium Unissex 20 Unidades,Absorvente Geriátrico Adultcare Premium Unissex 20 Unidades,in stock,new,28.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-56b0ec22bff3424c97b18d4ffa9b0187.jpg,Adultcare
112549,Absorvente Geriátrico Biofral Maxi LV20 PG 17 Unidades,Absorvente Geriátrico Biofral Maxi LV20 PG 17 Unidades,in stock,new,22.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f09d2e2305734cecabd4e341ff6e0934.webp,Biofral Maxi
114618,Absorvente Geriátrico Dry Mastersoft 20 Unidades,Absorvente Geriátrico Dry Mastersoft 20 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e44c0f64b886473ba6f9c0fa08b66992.png,DryMastersoft
101193,Absorvente Geriátrico Sensaty Tamanho Único C.20 Unid.,Absorvente Geriátrico Sensaty Tamanho Único C.20 Unid.,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-19a6e40efddc45d6b71be63cce1f738b.jpeg,Sensaty
43055,Absorvente Interno Intimus Médio Caixa 8 Unidades,Absorvente Interno Intimus Médio Caixa 8 Unidades,in stock,new,12.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-39544f085fcb4678aa5bb578fc6dfa67.jpeg,Intimus
62538,Absorvente Interno Intimus Médio Caixa Leve 16 Pague 15 Unidades,Absorvente Interno Intimus Médio Caixa Leve 16 Pague 15 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-524d20f6844340d6ba9651a35088f4d7.jpeg,Intimus
